tanggal,sentimen
2022-07-04,@dinopattidjalal Dia jawab bukan urusan nya. Lah.. sekarang urusan orang lain nun jauh di sana sok menjadi pahlawan kesiangan menjadi urusan nya. Dimana otaknya? KKB OPM saja ga beres migor ga beres sok ikut campur urusan Russia. Mungkin bantu mie seperti tuduhan Australia peng Indofood
2022-07-04,@Argonavises PJ Richter. -Saham indofood.
2022-07-04,DAFTAR PEMENANG POP MIE INDOFOOD 2020 https://t.co/OXZz9kUPxo
2022-07-04,Selain Meet and Greet dengan para pemain Persija Indofood turut menghadirkan serangkaian kegiatan seru di Rumah Indofood PRJ 2022. https://t.co/Sxngw0j1ST
2022-07-04,@FFOODFESS Bumbu basah indofood sama bumbu racik nderr
2022-07-04,@FajarAlviaan kirain mau ngiklan produk indofood yaallahhh btw mem maem ajaayy dan kojeng!
2022-07-04,Chiki balls coklat ku sampeeee ihirrr. Nyarinya susah banget yg coklat kudu di shopimall nya indofood di alfaindo adanya yg asin doang https://t.co/jA9ujbMAGi
2022-07-04,@FajarAlviaan Kirain foto saos indofood
2022-07-04,Pemegang monopoli impor gandum di Indonesia siapa? Boga sari Indofood ya?
2022-07-04,Pesan titipan direksi dan dewan komisaris indofood mungkin yg dimaksud? soalnya mrk memang butuh gandum jumlah banyak gak tau klo zelensky dan putin pernah nyicipin indomie atau kagak.. Andai pernah mungkin mau jg pada titip jastip...
2022-07-04,Cemilan sore buat ayah qia.. cocok pake sambel Bangkok yg Indofood enak https://t.co/Zp9HG2Yq5W
2022-07-06,Sp 7/7 : 1. Dgik. 2. Tbig bina icbp amrt. 3. Ssia cmry myor indf cpin. + : Jpfa
2022-07-06,@aespafess_ @Indomielovers @indofood tolong ini digandeng jadi BA bisa kali 
2022-07-06,Terus siapa gt ya lupa deh org kantor gw apa ya yg blg kalo tuh yg pd bikin mie sedap alumni indofood university trs pada pindah ke wings ya bener prinsipnya amati tiru dan buat yg lebih murah 
2022-07-06,HEH tolong direalisasikan ya @indofood @Indomielovers
2022-07-06,indofood bangkok enak btul
