tanggal,Close,High,Low,Open,Volume,nilai_sentimen
2022-07-11,6016.36474609375,6016.36474609375,5930.72254330238,5994.954195395907,2961000,0.13114754098360656
2022-07-12,6037.7744140625,6080.595509197695,5973.542771359707,6037.7744140625,5209400,0.20504731861198738
2022-07-13,5845.080078125,5994.953926282052,5823.669528388278,5994.953926282052,10978800,0.20408163265306123
2022-07-14,5930.72216796875,5952.132717311598,5823.669421254513,5845.07997059736,7611600,0.2598870056497175
2022-07-15,5909.3125,5952.133605072464,5845.080842391304,5930.723052536232,4235000,0.3342036553524804
2022-07-18,6037.7744140625,6037.7744140625,5887.900581089318,5909.311128656915,8349100,0.1888111888111888
2022-07-19,6123.4169921875,6123.4169921875,6037.77479649257,6037.77479649257,10570700,0.27
2022-07-20,6080.5966796875,6144.828334754622,6059.18612799846,6123.417783065582,9147600,0.11428571428571428
2022-07-21,6144.82763671875,6166.23818597561,6037.774890434452,6102.006538205031,12515300,0.06493506493506493
2022-07-22,6037.7744140625,6166.237699468085,6037.7744140625,6144.8271519004875,3703400,0.04285714285714286
2022-07-25,6016.36474609375,6059.185847489435,5994.954195395907,6037.775296791592,4355300,0.2647058823529412
2022-07-26,5994.9541015625,6037.775202287946,5952.133000837053,6016.3646519252225,6311400,0.13846153846153847
2022-07-27,5994.9541015625,6016.3646519252225,5930.72245047433,5994.9541015625,7768600,0.2391304347826087
2022-07-28,5909.3125,5994.954710144927,5887.901947463768,5952.133605072464,13846500,0.2978723404255319
2022-07-29,5823.669921875,5930.72267779182,5823.669921875,5909.312126608456,17090700,0.23728813559322035
2022-08-01,5909.3125,5930.723052536232,5845.080842391304,5845.080842391304,14285000,0.3492063492063492
2022-08-02,5978.91748046875,6023.536267636427,5911.989299717234,5978.91748046875,11697200,0.15555555555555556
2022-08-03,5867.3701171875,5956.6076855097435,5822.751333026378,5956.6076855097435,10883100,0.3333333333333333
2022-08-04,5934.29833984375,5934.29833984375,5845.060770823543,5845.060770823543,14150300,0.125
2022-08-05,5911.9892578125,5956.608044663915,5845.061077535377,5934.298651238208,10508000,0.23333333333333334
2022-08-08,5911.9892578125,5934.298651238208,5845.061077535377,5889.679864386792,9518400,0.37142857142857144
2022-08-09,5845.06103515625,5956.6080014760255,5845.06103515625,5911.989214948116,10862800,0.1875
2022-08-10,5911.9892578125,5911.9892578125,5800.442290683962,5845.061077535377,11884700,0.1
2022-08-11,5889.6796875,5934.298473011363,5889.6796875,5934.298473011363,7552600,0.125
2022-08-12,5911.9892578125,5934.298651238208,5867.370470961085,5934.298651238208,6935600,0.30303030303030304
2022-08-15,5911.9892578125,5911.9892578125,5845.061077535377,5911.9892578125,3707800,0.08411214953271028
2022-08-16,5845.06103515625,5934.298608212071,5755.823462100429,5911.989214948116,15973400,0.10714285714285714
2022-08-18,5867.3701171875,5889.67950926806,5800.441940945817,5845.060725106939,10405500,0.07751937984496124
2022-08-19,5867.3701171875,5934.298293429182,5867.3701171875,5889.67950926806,9669600,0.19767441860465115
2022-08-22,5934.29833984375,5934.29833984375,5845.060770823543,5845.060770823543,6047100,0.18518518518518517
2022-08-23,5934.29833984375,5934.29833984375,5889.679555333646,5934.29833984375,4805600,-0.023809523809523808
2022-08-24,5934.29833984375,5934.29833984375,5867.3701630785945,5934.29833984375,5240700,0.3548387096774194
2022-08-25,5867.3701171875,5956.6076855097435,5867.3701171875,5934.298293429182,4791100,-0.14285714285714285
2022-08-26,5800.44189453125,5889.679462139423,5800.44189453125,5845.060678335336,6220300,0.011904761904761904
2022-08-29,5911.9892578125,5911.9892578125,5755.823503832547,5778.132897258254,4316400,0.22857142857142856
2022-08-30,5800.44189453125,5911.988854041466,5800.44189453125,5911.988854041466,7090200,0.03
2022-08-31,5555.03857421875,5666.585533540411,5532.729182354417,5621.966749811747,28438200,0.012195121951219513
2022-09-01,5599.65771484375,5688.895287988671,5555.03892827129,5555.03892827129,13391800,0.08695652173913043
2022-09-02,5711.2041015625,5733.5134925842285,5621.966537475586,5644.275928497314,13138800,0.18867924528301888
2022-09-05,5688.8955078125,5755.8236902573535,5644.276719515931,5711.204901960785,9181400,0.19298245614035087
2022-09-06,5666.5859375,5733.514117864173,5644.276544045276,5688.895330954725,6556900,0.05
2022-09-07,5621.96728515625,5688.895467122396,5599.657891167535,5644.276679144966,11491000,0.17647058823529413
2022-09-08,5577.34814453125,5666.58571484375,5577.34814453125,5666.58571484375,10362500,0.375
2022-09-09,5555.03857421875,5644.2761416760795,5532.729182354417,5621.966749811747,14636800,0.18055555555555555
2022-09-12,5555.03857421875,5599.657357947414,5510.419790490085,5532.729182354417,10782800,0.12
2022-09-13,5532.7294921875,5621.967064642137,5532.7294921875,5555.038885301159,9240200,0.10256410256410256
2022-09-14,5555.03857421875,5577.347966083082,5488.110398625753,5532.729182354417,8907600,0.07017543859649122
2022-09-15,5510.419921875,5577.3480990637645,5510.419921875,5555.038706667509,15583400,0.01639344262295082
2022-09-16,5621.96728515625,5621.96728515625,5488.110921223959,5488.110921223959,18158600,0.0
2022-09-19,5532.7294921875,5599.657671528477,5532.7294921875,5599.657671528477,9070800,0.07246376811594203
2022-09-20,5532.7294921875,5599.657671528477,5532.7294921875,5577.348278414818,6634700,-0.020833333333333332
2022-09-21,5577.34814453125,5577.34814453125,5532.729359375,5532.729359375,7204000,-0.058823529411764705
2022-09-22,5577.34814453125,5577.34814453125,5510.419966796875,5555.038751953125,6200900,-0.11458333333333333
2022-09-23,5532.7294921875,5599.657671528477,5532.7294921875,5577.348278414818,6647900,0.0196078431372549
