tanggal,Close,High,Low,Open,Volume,nilai_sentimen
2022-07-11,3386.84814453125,3437.147869450031,3353.314994585396,3437.147869450031,42258000,-0.2348993288590604
2022-07-12,3361.6982421875,3403.6146791225065,3361.6982421875,3403.6146791225065,43399800,-0.11695906432748537
2022-07-13,3303.01513671875,3378.464721060041,3294.6318495697174,3361.698146761976,96218200,-0.23026315789473684
2022-07-14,3370.08154296875,3370.08154296875,3269.4820939249066,3303.0152436061876,68708500,-0.18248175182481752
2022-07-15,3479.064208984375,3529.3639324877636,3361.6981874764683,3386.848049228163,146093800,-0.1588235294117647
2022-07-18,3512.597412109375,3512.597412109375,3411.9979635525433,3445.531113071487,84009400,-0.10738255033557047
2022-07-19,3487.447509765625,3512.5973716148965,3462.2976479163535,3512.5973716148965,91367900,-0.23357664233576642
2022-07-20,3529.36376953125,3537.7470563947445,3470.6807614867876,3470.6807614867876,82344000,-0.1038961038961039
2022-07-21,3571.2802734375,3571.2802734375,3504.213977222711,3529.363838303257,107234600,-0.1015625
2022-07-22,3546.13037109375,3554.51365802305,3512.5972233765515,3554.51365802305,59792300,-0.03225806451612903
2022-07-25,3554.513671875,3571.2802457989387,3537.7470979510613,3554.513671875,37218000,-0.12804878048780488
2022-07-26,3562.89697265625,3562.89697265625,3512.597250689338,3554.5136856617646,49786900,-0.033783783783783786
2022-07-27,3604.8134765625,3604.8134765625,3529.3638921693314,3546.1304664789245,60672300,-0.0064516129032258064
2022-07-28,3554.513671875,3621.579967570755,3512.5972370651534,3613.1966806087853,110767300,-0.10344827586206896
2022-07-29,3546.13037109375,3604.813379598848,3529.3637972351507,3588.0468057402486,108823600,-0.05747126436781609
2022-08-01,3604.8134765625,3604.8134765625,3546.1304664789245,3546.1304664789245,104724300,0.12698412698412698
2022-08-02,3730.562744140625,3730.562744140625,3562.897002830934,3646.7298734857795,112228800,0.012578616352201259
2022-08-03,3772.479248046875,3847.9288330078125,3697.0296630859375,3730.562811957465,251825000,0.03048780487804878
2022-08-04,3814.39599609375,3814.39599609375,3730.5631170587226,3730.5631170587226,186881500,-0.11170212765957446
