"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1951003260267221363","Thu Jul 31 19:33:19 +0000 2025","0","Coba lihat produk ini! https://t.co/rbTiVot6jy","1951003260267221363","","","in","","0","0","0","https://x.com/undefined/status/1951003260267221363","1920887503286132736",
"1951003224359706875","Thu Jul 31 19:33:11 +0000 2025","0","Coba lihat produk ini! https://t.co/C5EFp5P40a","1951003224359706875","","","in","","0","0","0","https://x.com/undefined/status/1951003224359706875","1920887503286132736",
"1951003177844875424","Thu Jul 31 19:33:00 +0000 2025","0","Piyama Set Baju Tidur BS-5002 Setelan Baju Celana Pendek Panjang Baju Rumah Cute High Quality Mimon Home https://t.co/bBYZAmXOXN","1951003177844875424","","","in","","0","0","0","https://x.com/undefined/status/1951003177844875424","1920887503286132736",
"1951002374107177476","Thu Jul 31 19:29:48 +0000 2025","0","Coba lihat produk ini! https://t.co/LJIOERQ5y1","1951002374107177476","","","in","","0","0","0","https://x.com/undefined/status/1951002374107177476","1920887503286132736",
"1950997320729759972","Thu Jul 31 19:18:00 +0000 2025","0","@gonuuk gw naik gojek lewat balai sarbini pengen lompat","1950999403231338625","","","in","","0","0","0","https://x.com/undefined/status/1950999403231338625","880344931281256448",
"1950996912385171711","Thu Jul 31 19:08:06 +0000 2025","0","Garnier Men ISI 2 Facial Foam 100 ml (Acno Fight &amp; Turbo Light) Twinpack - Sabun Cuci Muka Pria Mencerahkan Berjerawat Melembapkan Wajah Facial Cleanser https://t.co/dZvkxfzOIn","1950996912385171711","","","in","","0","0","0","https://x.com/undefined/status/1950996912385171711","1192214987558621184",
"1950996527226429603","Thu Jul 31 19:06:34 +0000 2025","0","Laushine Overnight Intense Whitening Booster Lotion Pump - New Formula Extra Shooting - 10%Niacinamide - Tranexamic Vitamin Mencerahkan Memudarkan Mengencangkan https://t.co/R0wUvXN1KN","1950996527226429603","","","in","","0","0","0","https://x.com/undefined/status/1950996527226429603","1192214987558621184",
"1950994609875853320","Thu Jul 31 18:58:57 +0000 2025","0","SKIN1004 DISKON 50RB DI TIKTOK Klaim Vouchernya di Toko Dapat Sheetmask Isi 5 https://t.co/gBv7mJVXJd https://t.co/5HLmg431pS","1950994609875853320","https://pbs.twimg.com/media/GxNTQWeaIAAs-vs.jpg","","in","","0","0","0","https://x.com/undefined/status/1950994609875853320","1926214895881654272",
"1950994419878076518","Thu Jul 31 18:58:12 +0000 2025","0","SKIN1004 DISKON 50RB DI TIKTOK Klaim Vouchernya di Toko https://t.co/WiGh1k01vA https://t.co/eNsj2rUdJU","1950994419878076518","https://pbs.twimg.com/media/GxNTFORaIAQVW49.jpg","","in","","0","0","0","https://x.com/undefined/status/1950994419878076518","1926214895881654272",
"1950994097780695233","Thu Jul 31 18:56:55 +0000 2025","0","GOJEK KU BANYAK PROMO I LOVE YOU GOJEK","1950994097780695233","","","in","","0","1","0","https://x.com/undefined/status/1950994097780695233","1300101707297222656",
"1950994005979967749","Thu Jul 31 18:56:33 +0000 2025","0","LushStep Sandal Wanita Kekinian Tali Silang Flat Shoes Wanita Korea Desain Korea Super Nyaman https://t.co/VmPLI1W7bg","1950994005979967749","","","in","","0","0","0","https://x.com/undefined/status/1950994005979967749","1192214987558621184",
"1950993305489252771","Thu Jul 31 18:53:46 +0000 2025","0","KANAZAWA Penanak Nasi Terisolasi Gula Baja Tahan Karat 304 Tutup Kaca Terlihat Kristal Keramik Glack Anti Lengket https://t.co/EBCiKYH7Tg","1950993305489252771","","","in","","0","0","0","https://x.com/undefined/status/1950993305489252771","58434309",
"1950991320493035897","Thu Jul 31 18:45:53 +0000 2025","0","Injo Eau de Parfume for Women 50ml Parfum e Inem Jogja https://t.co/w87D4hdWXk","1950991320493035897","","","in","","0","0","0","https://x.com/undefined/status/1950991320493035897","834273341678579712",
"1950991209104826781","Thu Jul 31 18:45:26 +0000 2025","0","Kaos Agustusan 8 Pcs Kaos Kemerdekaan 17 Agustus Nyaman dan Tahan Lama 8 potong set 🇮🇩 ️ https://t.co/ueg7HsXMWm #kaos #kaosagustusan #kaosseragam https://t.co/wN4l3FCVvZ","1950991209104826781","https://pbs.twimg.com/amplify_video_thumb/1950991169661591552/img/SnDBuMEp_aezO5d0.jpg","","in","","0","0","0","https://x.com/undefined/status/1950991209104826781","818710361293496321",
"1950988965659676852","Thu Jul 31 18:36:31 +0000 2025","0","Judul: Bangsa yang Belum Selesai: Indonesia Sebelum dan Sesudah Soeharto Penulis: Max Lane Penerbit: Reform Institute 2007 Tebal: xxviii+339 halaman ISBN: 9789791629003 Harga: Rp 100.000 - . Narahubung WA: https://t.co/e71lLJdE5O https://t.co/yRogXpmnqR https://t.co/LoWtbJNZeF https://t.co/9lUnlIZJZD","1950988965659676852","https://pbs.twimg.com/media/GxNOH9SaUAAF0L2.jpg","","in","","0","0","0","https://x.com/undefined/status/1950988965659676852","1771198216941490176",
"1950987842018320449","Thu Jul 31 18:32:03 +0000 2025","0","GSI Rachel Sepatu Sports Wanita Sneakers Kasual Outfit Cewek Jogging Import Terbaru Sport Senam 1294 Casual Sol Karet Shoes Olahraga Running https://t.co/FsGgpF667q","1950987842018320449","","","in","","0","0","0","https://x.com/undefined/status/1950987842018320449","410702562",
"1950987765296042445","Thu Jul 31 18:31:45 +0000 2025","0","Bawang Hitam Tunggal Premium Quality Alamme 100 Gram black garlic Spices Herbal Rempah https://t.co/McA7db9zQf","1950987765296042445","","","in","","0","0","0","https://x.com/undefined/status/1950987765296042445","410702562",
"1950987185798389805","Thu Jul 31 18:29:27 +0000 2025","2","Hukum dan sistem kenegaraan sudah dirusak 10 tahun ini https://t.co/eJrWadF5Il Tag: Prabowo amnesti Tom Lembong https://t.co/4QAVGDvqb6","1950987185798389805","https://pbs.twimg.com/ext_tw_video_thumb/1950987163535024128/pu/img/ckXk-ee3ozPPKaoh.jpg","","in","","0","0","0","https://x.com/undefined/status/1950987185798389805","1235027923834265600",
"1950986874069328126","Thu Jul 31 18:28:13 +0000 2025","0","Coba lihat produk ini! https://t.co/Fo5wmaIxmW","1950986874069328126","","","in","","0","0","0","https://x.com/undefined/status/1950986874069328126","410702562",
"1950986662802235668","Thu Jul 31 18:27:22 +0000 2025","0","Coba lihat produk ini! https://t.co/E2eMSeRA2x","1950986662802235668","","","in","","0","0","0","https://x.com/undefined/status/1950986662802235668","410702562",
"1950986607366119898","Thu Jul 31 18:27:09 +0000 2025","0","Coba lihat produk ini! https://t.co/4tbOvRt4tv","1950986607366119898","","","in","","0","0","0","https://x.com/undefined/status/1950986607366119898","160965015",
